caseid,mobilpo_wparty_oth,postvote_presvtwho_oth,postvote_vtpresdec,postvote_prefprwho_oth,ofcrec_speaker,ofcrec_vp,ofcrec_pmuk,ofcrec_cj,mip_prob1,mip_prob2,mip_prob3,mip_mostprob,fairjob_opin_oth,abort_dpc4_oth,abort_rpc4_oth,abort_dem4_oth,abort_rep4_oth,aapost_hire_oth,cses_ptycont_oth,pohisp_hispnews_oth,pohisp_renglish_oth,pohisp_rspanish_oth,CASISTARTPO_IWRSET6
5926,,,,,,,,,,,,,,,,,,,,,,,
5927,,,A couple of weeks.,,Speaker of the House,Vice President,Do not know.,Do not know.,Economy.  Need to bring more jobs back to America and need to support American companies.  Need more good paying jobs.,Terrorism.  We need to protect our country and stop trying to get involved in other countries military problems.,-7 Refused,The economy.,,,,,,,,,,,
5928,,,-1 Inapplicable,,house speaker,v. p.,do not know,dont know,"gays have no rights,better gun control",health care,no,gun control,,,,,,,,,,,
5929,,,-1 Inapplicable,,republican house leader,vice president,press sec.,supreme jugde,they just have to work together  and  solve our problems quickly.,We have to get our people working  and  off of welfare soon as possible.,our debt rate is out of control we must find ways to cut the waste  and  fast.,"unenployment is our number one problem, if people were working tax money would help pay our debts.",,,,,,,,,,,
5930,,,3 months,,Speaker of the House,Vice President,Don't know,Chief Justice,Economy/Jobs,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
5931,,,-7 Refused,,House Majority Leader,Vice President,Prime Minister,Supreme Court,Trying to control Spending by the Government,The people stance on Social issues,Weakened economy,Social Issues,,,,,,,,,,,
5932,,,4 years ago,,don't know,vice president,don't know,?,national debt and our safety of our people and country,not at this time,no,security and our debt,,,,,,,,,,,
5933,,,-1 Inapplicable,,Speaker of the house,VP,British PM,Supreme Court justice,Economy,NA,NA,Economy,,,,,,,,,,,
5934,,,awhile before,,dont know,dont know,dont know,dont know,economy and healthcare,global warming,imigration,economy,,,,,,,,,,,
5935,,,-1 Inapplicable,,I don't know,Vice president,Don't know,Don't kniw,Leadership is not going in the right direction,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
5936,,,"There wasn't a question in my mind ever, for whom I should vote for in the most recent election.",,Minority House Leader,VP,Chief of Staff,Supreme Court Justice - Chief Justice,"Gridlock. Consensus seems nearly impossible. President Obama is like a teacher trying to rope in a bunch off ADD kids in Congress. The Republican party is in a shambles, and still our Republican congress members act like nothing happened. The President knows what needs to be done, he can prioritize, the Republicans should look at the last election cycle and let the man govern!",Immigration,Health Care Reform,Gridlock,,,,,,,,,,,
5937,,,one month,,speaker of the house,vice president,do not know (prime minister of england),chief justice of the supreme court,Health care and jobs,jobs,the war,Health care,,,,,,,,,,,
5938,,,Since campaign started,,Senator,Vice President,Legislation,Legislation,"Economic issues, Obesity, Healthcare","Global warming, Human Trafficking",Education,Economic,,,,,,,,,,,
5939,,,When the Affordable Healhcare Act was passed without being read. That would be about 2-3 years ago.,,John Boehner is the Speaker of the House of Representatives.,Joe Biden is the Vice President of the United States.,David Cameron is the Prime Minister of Great Britain.,John Roberts is the Chief Justice of the U.S. Supreme Court.,"Inexpensive and easily accessible energy is the most important problem. The bottom line of production, distribution, and use of any product depend on energy. Ultimately it helps to create jobs.",The over abundance of governmental regulations is another important problem. Regulations stifle economic growth.,Class warfare that is promoted by the liberal democrats hinders unity. This also includes race warfare.  Why can't we just be Americans?,"I think that devisive tactics used by both parties, but especially by the liberal democrats is the single most important problem. The nation needs to be united so that problems can be solved.",,,,,,,,,,,
5940,,,After the last debate,,house of speaker,vice president,republican,don't know,economy is not strong.  People cannot find job,anti value.  I mean the moral value decline,health care do not exist,I already say the economy,,,,,,,,,,,
5941,,,-1 Inapplicable,,-7 Refused,vice president,-7 Refused,-7 Refused,-7 Refused,-1 Inapplicable,-1 Inapplicable,,,,,,,,,,,,
5942,,,"During the second presidential debate, pretty much my mind was made up after the debate was over.",,Speaker of the house?,Vice president,Not a clue....press release?,Not a cle,Government working together to solve issues,Economy,Affordable healthcare,Economy,Don't think it's an issue anymore,,,,,,,,,,
5943,,,that day,,dont know,vice president,dont know,dont know,"homeless people, starving children",no,war,war,,,,,,,,,,,
5944,,,,,,,,,,,,,,,,,,,,,,,
5945,,,1 year,,Majority Leader  House of Representatives,Vice President,unknown,Justive of Supreme Court,"Economy, foreigh affairs, moral issues","No job growth, no improvement in economy weak profile in foreign policy",Lack of moral fiber,economy,,,,,,,,,,,
5946,,,,,,,,,,,,,,,,,,,,,,,
5947,,,2 weeks,,House Speaker,Vice President,Prime Minister of the United Kingdom,Chief Justice,Econony Prices Too High,The War,Too many people on Welfare,Economy,,,,,,,,,,,
5948,,,3dias,,speaker,vice president,no se,supreme court chief justice.,La cantida de la  deuda,no,no,el problema dela deuda,,,,,,,,,,,
5949,,,-1 Inapplicable,,speaker f the house,vp,dont know,chief justice,"debt, defecit,entitlements",social and cultural decay,"liberalism, socialism","debt,defecit",,,,,,,,,,,
5950,,,The day I found out Obama was running for election again.,,Speaker of the House.,Vice-President,Don't know,Don't know,"Immigration, Abortion, Terrorism","Economy, Government spending",Crime,Terrorism,,,,,,,,,,,
5951,,,A month .,,NOT SURE,NOT SURE,NOT SURE,NOT SURE,-7 Refused,-1 Inapplicable,-1 Inapplicable,,,,,,,,,,,,
5952,,,quite awhile before,,i don't know,i don't know,i don't know,i don't know,health care for the poor,the country is in too much debt,no,debt,,,,,,,,,,,
5953,,,years,,speaker of the house,senator,prime minister of UK,Chief Justice,poverty environment,the environment,economy,economy,,,,,,,,,,,
5954,,,-1 Inapplicable,,speaker of the house,vice president,don't know,don't know,"employment,need more jobs.",no,no,social issues.,,,,,,,,,,,
5955,,,-1 Inapplicable,,SPEAKER OF THE HOUSE,VICE PRESIDENT,DONT KNOW,DONT KNOW,-7 Refused,-1 Inapplicable,-1 Inapplicable,,,,,,,,,,,,
5956,,,One year,,Senate republican leader,Vice president,unsure,unsure,"Economy, unemployment, national security",national security,social issues,economy,,,,,,,,,,,
5957,,,,,,,,,,,,,,,,,,,,,,,
5958,,,-1 Inapplicable,,Speaker of the House,Vice President,Not sure,Not sure,Economic woes,Welfare,Unemployment,Economic woes,,,,,,,,,,,
5959,,,the day that I voted,,speaker of the house,vp,prime minister,unknown,there are no jobs,to much spending in goverment,can't think of anymore,can't think of anymore,,,,,,,,,,,
5960,,,A day,,Judge,State legislator,Represenative,Senator,The debt we carry,Unemployment,Terrorism,debt,,,,,,,,,,,
5961,,,Approximately 2 months,,Speaker of the House,Vice President,UK Prime Minister,Chief Justice,The weak economy brought on largely by enormous greed.,Health care and in particular the need for all Americans to have some level of coverage.,Education and the need to ensure we are training the masses to address the needs of now and the future.,The economy,,,,,,,,,,,
5962,,,right away,,head of house,vic pres,dont know,dont no,hi paying jobs,ss,no,more jobs,,,,,,,,,,,
5963,,,I just decided in the process of reading our state voter's pamphlet as I was filling out my mail-in ballot three days before election day.,,(I do not know),Vice President,Don't know,Don't know,The national debt - that it exists at all and that it is growing uncontrolled,Class warfare - ther rich get richer and the poor get poorer.  The rich seem to control the politicians to their benefit at the expense of the rest.,"General environmental issues - no one seems to be addresing that the human population just keeps growing along with increasing standards of living in other countries as well as it relates to global warming, etc.","The debt.  Not just the deficit, the debt.",What kind of question is this?  The government should see to it that ALL people get fir treatment with respect to jobs.,,,,,,,,,,
5964,,,12 months,,Speaker of the house,Vice president,I do not know,I do not know,Economy...not enought jobs...Congress will not work for the good of the people,Costs of medical care and availability to all,Education..higher education unaffordable and loans need to be more readily available at lower rates thn present,The economy and unemployment,See to it all people get fair treatment,,,,,,,,,,
5965,,,Right away,,Speaker of the House,VIP,Prime minister UK,Chief justice,Federal government being in every ones lives,Dept,Taxes,Taxes,,,,,,,,,,,
5966,,,-1 Inapplicable,,do not know,vice president,do not know,do not know,the cost of health care,the cost of health care,no,the cost of health care,i think this is a racecel qustion,,,,,,,,,,
5967,,,Knew I was voting for the Republican candidate.,,I do not recognize his name.,Vice President,I do not recognize his name,I do not recognize his name.,Fiscal Cliff Recovery from Natural Disasters Overwhelming need of government assistance for so many people Special interest groups,Self centered focus of the upcoming generation.,Low math and science scores for American youth,Financial recovery,,,,,,,,,,,
5968,,,-1 Inapplicable,,I don't know,Democratic,Don't know,Don't know,Poverty,War,No,No,,,,,,,,,,,
5969,,,-1 Inapplicable,,DON'T KNOW,DON'T KNOW,DONT'KNOW,DONT'KNOW,LOCK OF JOBS,YHE ECONOMIC,THE ECONOMIC,THE ECONOMIC,,,,,,,,,,,
5970,,,immediately,,not sure,vice pres,not sure,not sure,the U. S. is the goose that laid the golden egg.  the Republican party and the rich are willing to kill it for a quick meal.   the rich need to pay their fair share of the cost to run this country,education and the cost of higher education,jobs,getting the rich to pay their fair share,not just a black problem,,,,,,,,,,
5971,,,"His first on air speech, when he had former Pres. Clinton with him, President Obama gave a very strong speech. He sounded confident and I also feel that, with the last 4 yrs. of his term, he has noticed the problem that have to be faced, with a realistic plan. The President and First lady sounded sincere with the problems that America is facing. I wish him luck, he has a very hard term, probably the hardest of any President ever.",,"I do not know about ANY of them, I never see or hear about these people. My vote came from the fact that the President has so many problems with republicans agreeing on serious issues. So I voted all Democrat.",Vice President,"unknown, sorry",unknown :(,"Jobs, way to much has been taken away from Americans mostly from export, but also technology.",Healthcare: I am in strong favor of the Obama Care.,"Economy would be same as jobs, but with the Economy being as bad as it is, their are to many people receiving Government help. food stamps, medicaid welfare etc.","Create more jobs here in America, and then the economy will get better, and allot less people will need government help. Chain reaction....",,,,,,,,,,,
5972,,,Never a question,,Speaker,Vice President,UK Prime Minister,Supreme Court,"The divide between the two groups, whether it's blue/red, liberal/conservative, rich/not-rich, whatever. We are so polarized.",Economy,"Human rights (reproductive, gay, etc.)","The huge divide, because everything else hinges on that.",,,,,,,,,,,
5973,,,About a week before the election,,Speaker of the House,Vice President,do not remember,-7 Refused,"keeping the US and their citizens safe from danger, both from domestic and foreign criminals",Getting the country back on track economically,repairing and replacing the infrastruture of the country,Keeping the US safe,everyone gets fair treatment,,,,,,,,,,
5974,,,From the very beginning.,,Don't know,Vice President?,Don't know,Don't know,Economy and our debt deficit,Lack of morals,Illegal aliens,Debt deficit,,,,,,,,,,,
5975,,,-1 Inapplicable,,Idk,Vp,Idk,Idk,Idk,No i,Noooo,Idk,,,,,,,,,,,
5976,,,I decided when Obama announced that he was running for a second term to vote for him.,,Speaker of the House of Representatives,Vice President of the US,Don't know.,Chief Justice of the Supreme Court of the US,"Economy, unemployment.  I am more concerned with getting people to work then cutting the deficit.  We should put people to work fixing our infrastructure, once people are working again the deficit will go down.","Social Security does not add to the deficit, if we removed the cap on taxable SS income it would go a long way to funding it for many years. Cut some of the waste in Medicare and Medicade, work at lowering health costs.","We need to make our national elections more uniform, no one should stand in line for 8 hours to vote.  We should also have national standards for registering voters, too many states tried to suppress voters this year, we should make voting easier not harder.",unemployment,,,,,,,,,,,
5977,,,about a week before,,majority leader of US Senate,Vice President,don't know,don't know,healthcare and its runaway costs and the fact that it is not equitable for all,the skyrocketing debt,the economy in general and our inability to rein in costs,"the state of the economy and our inability to focus on what is important to people and basic necessities without giving handouts but hand ups with limits and letting people earn benefits,also helping small business not just giving bailouts with no oversight",,,,,,,,,,,
5978,,,,,,,,,,,,,,,,,,,,,,,
5979,,,Several months,,Speaker of the House,Vice President,Prime Minister of UK,Chief Justice,Moral decline,Family values including redefinition of marriage,Abortion,Economy,,,,,,,,,,,
5980,,,day of,,?,vice pres,?,?,overspending by government on programs that rich people could pay into themselves.  The solution always seems to be to charge the poor more so we can protect the rich in the hopes they will create jobs.,"Social Security is being used improperly and should be overhauled.  I work with a guy who [REDACTED DETAILS].  Both of them collect a check, he collects a check and the government pays health insurance for all 3 of them.  No one forced him to have kids later in life.  No one told him to retire.  Why is social security and other federal programs supporting the kids of a man who has no health problems and retired from a perfectly good job that paid all his bills?",-7 Refused,overspending and misspending,"at one time yes, but not since a black man can bcome president, latinos serve in congress and so on.  Everyone should be treated fairly",,,,,,,,,,
5981,,,when he was nominated as the Republican candidate.,,Speaker of the House,VP,unknown,Justice of the Supreme Court,economy and job creation,healthcare issues that will begin in 2013,control of illegal immegration,getting the economy moving in the right direction with businesses growing and jobs being created.,,,,,,,,,,,
5982,I'm not sure about a few callers.,,I knew who I was going to vote for since the second year of his previous term.,,Republican Speaker of the House.,"Democrat, he' s the Vice President of the U.S.A.",I don't know this name.,I don't know.,Economic stability.,Defense and international diplomacy.,Facilitating paths for the poor to gain middle class comforts... Wherein they can be a part of what makes this country a productive world model rather than a third world wasteland.,Economic stability.,,,,,,,,,,,
5983,,,,,,,,,,,,,,,,,,,,,,,
5984,,,Several weeks before,,house of rep,vice president,prime minister,chief justice,welfare and the amount of freebees given out and unemployment length allowed,Deficit definetly is a problem,No,welfare and employment,,,,,,,,,,,
5985,,,Hace 4 años,,No se,Vice presidente,No se,No se,Costo de vida,No,No,Nada,,,,,,,,,,,
5986,,,as soon as he said he was running for a second term,,rep,vice pres,unknown,sen,jobs getting people working,none,to many to name,getting people to works and getting people willing to work,,,,,,,,,,,
5987,,,4 years ago,,House of Representatives,v president.,Senate,House of Representatives,all good,economy,no,economy,,,,,,,,,,,
5988,,,Once Romney was picked as the nominee,,Speaker of the house,VP,UK prime minister,Supreme Court Chief Justice,wars and defense spending,economy,deficit,wars and defense spending,,,,,,,,,,,
5989,,,-1 Inapplicable,,I have no idea.,Vice president,I have no idea.,I don't know.,Greed.  Greed is killing this country.,Lack of jobs wich is caused by greed. People need to throw out the machines and let people earn a living! People also need to be paid enough to live on- it would be better if everyone in the world wasn't charging so much for everything.,Lack of morals and decency.,Greed.,,,,,,,,,,,
5990,,,one week,,house speaker,VP,don't know,Supreme Court Justice,economy. unemployment.,terrorism. foreign relations.,education.,economy.,,,,,,,,,,,
5991,,,As soon as Obama was elected in '08,,House speaker,Vice President,Prime Minister of UK,Chief Justice,The people's sense of entitlement and Obama Claus just feeding the problem instead of holding people responsible for their actions and teaching them how to take care of themselves.,"If we could change people's attitudes and teach them how to care for themselves.  And then if government would hold everyone accountable, it would rid most of our problems.",corrupt government,Government justifying the people's sense of entitlement,,,,,,,,,,,
5992,,,Knew all along. Don't like Romney,,don't know,Vice President,don't know,don't know,bad economy,affordable healthcare for all,no,The economy,,,,,,,,,,,
5993,,,two days,,Speaker of the House,Vice-President,British Prime Minister,Chief Justice of the U.S. Supreme Court,economy and jobs,terrorism and wars,unemployment,the economy,,,,,,,,,,,
5994,,,-1 Inapplicable,,Senate majority leader,Vice President,UK Prime Minister,Not sure,Federal Debt Taxes Jobs,Abuse of the welfare system,-7 Refused,Federal Debt,,,,,,,,,,,
5995,,,months,,speaker of the house,VP,not sure,DNK,"Econony, spending in wahshingtom",imgragstion issue,-7 Refused,Jobs and the economy,,,,,,,,,,,
5996,,,-1 Inapplicable,,Speaker of The House,Vice President,Prime Minister,Supreme Court Chief Justice,Jobs no job growth,no,no,Job Growth,,,,,,,,,,,
5997,,,As soon as it was possible to vote for President.  I am a Democrat and would never vote for a Republican.,,Speaker of the House,Vice President,Do not know.,Chief Justice of the Supreme Court.,The financial markets due to the Economy.,Taxes,The Security of the Country.,The Economy.,,,,,,,,,,,
5998,,,long before the election,,not sure,vp,not sure,chief justice,jobs and economy,no,no,no,,,,,,,,,,,
5999,,,-1 Inapplicable,,Speaker of the House,VP,Sounds like a dude in the UK,Supreme court judge,"Economy: Spending, Jobs, pay rate. Also, international ownership of property  and  infrastructure, including Security/Quality of internaitonal infrastructure items (bridges, pumps, electric grid, etc.).",education and illegal imigration.,no,no,,,,,,,,,,,
6000,,,,,,,,,,,,,,,,,,,,,,,
6001,,,4 years,,not sure,would have been vice president,not sure,not sure,Very Poor Financial choices,Coruption in the government,the way we deal with other countries,making poor financial decisons,,,,,,,,,,,
6002,,,-1 Inapplicable,,Us political office,The vice president,Conservative party,Chief Justin in the us,Jobs....not enough work to support our families and ceitize the background to much.,Gas prices arw too high.,No,Na,,,,,,,,,,,
6003,,,a few months,,dont know,Vice president,dont know,dont remember,economy,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
6004,,,Approximately 6 months,,Speaker of the House,Vice_President,Not Sure,Not Sure,The Ecomony  and  The Job Market,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
6005,,,,,,,,,,,,,,,,,,,,,,,
6006,,,After listening to Romeny's speeches,,Speaker of the house,"Speaker of the house, represenative",not sure,Chief Justice,"employment,  the more people that are emplyed cuts down on social problems, there are large companies that could easily hire more people that would cut down on time spent waiting in line to purchase their products",division between rich and poor,drug problem,unemployment,,,,,,,,,,,
6007,,,siempre pense en votar,,jefe de lka camara,vice-pesidentre de la republica,no recuerdo en este momento,no recuerdo,la economia y el desempleo existente,hay muchos pero el sesempleo y la economia son los principales,no,el desempleo y la economia,,,,,,,,,,,
6008,,,3years,,leader of the house / rep.,v.p.,unknown,unknown,jobs are needed to get the eccommey going,both parties have to work together for the good of the country,no,more jobs,,,,,,,SUPER PAC's,,,,
6009,,,Several weeks,,speaker of the house,Vice President,Do not know,do not know,People needing jobs and the price of gas being too high,immigration laws,no limits to welfare,Gas and energy prices being too high,,,,,,,,,,,
6010,,,7 months,,unsure,vice president,unsure,unsure,"economy ,need more jobs for everyone ; less multi-millionairs","crime , need revised justice","moral , people dont have many","economy , too many rich , noy enough jobs",been done already,,,,,,,,,,
6011,,,-1 Inapplicable,,republican speaker of house,vice president,idk,idk,"jobs, prices/economics, education, spending/deficit, people on welfare, illegals",taxes,no,economics,,,,,,,,,,,
6012,,,,,,,,,,,,,,,,,,,,,,,
6013,,,More than a year before the election and after I saw the field of Republican candidates.,,Speaker of the House of Representatives,Vice President of the US,Prime Minister of Great Britain,"Chief Justice, US Supreme Court",Climate Change,Shrinking middle class,Overspending on the military,Climate change,,,,,,,,,,,
6014,,,MONTHS,,SPEAKER OF HOUSE,VTCE PRES.,DON'T KNOW.,SUPREME COURT CHIEF JUSTICE,1. UNEMPLOYMENT.,POOR LEADERSHIP.,WEAKENING OF MILITARY STRENGTH,LACK OF GOOD LEADERSHIP AT HIGH LEVEL.,,,,,,,,,,,
6015,,,1 week,,speaker of the house,vice president,not sure,not sure,economony need more jobs and and the housing needs to improve,no,none,jobs,,,,,,,,,,,
6016,,,A few weeks,,Speaker of Senate,Vice President,Prime Minister UK,Chief Justice US Supreme Court,'It's the economy stupid' Clinton era quote  1. Jobs 2. Jobs 3. Jobs,"Housing Market, Taxation,and the need for public assistance",N/A,Jobs,,,,,,,,,,,
6017,,,Given the current state of the economy at the time mitt romney was elected to run for president. Hearing about Mitt Romney's issues that he would face as president shortly after his nomination.,,House of representatives,-7 Refused,-7 Refused,-7 Refused,Longevity towards financial independence from other nations. Continued rising costs of goods and services.,Welfare abuse..,Health insurance.,"Health insurance, would you like me to go on for at least 5 pages?",,,,,,,,,,,
6018,,,2 months,,Don't know,Vice President,Press secretary?,Don't know,1) Erosion of Constitutional rights 2) Federal deficit/spending 3) Lack of transparency of gov't,Lobbying/special interests are more powerful than the desires of the populace.,Our mass media/press is controlled and not free.,Erosion/loss of constitutional rights,,,,,,,,,,,
6019,,,,,,,,,,,,,,,,,,,,,,,
6020,,,at  the polls,,speaker of sthe house,vice president,donnn't know,supreme court,becoming a socialist country,jobs,-7 Refused,socialism,,,,,,,,,,,
6021,,,-1 Inapplicable,,yes houes,houes,house,house,oklahame  is one there not alot of job here,marlow ok,texaes,none,,,,,,,,,,,
6022,,,,,,,,,,,,,,,,,,,,,,,
6023,,,Two days before the election I made up my mind.,,Republican senate minority leader,Vice president,UK Prime minister,Don't know,The economy and jobs which are really just two sides of the same coin.,National debt,Illegal immigration,Economy/jobs,,,,,,,Independent,,,,
6024,,,-1 Inapplicable,,-7 Refused,-7 Refused,-7 Refused,-7 Refused,Taxes and immigrantion,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
6025,,,1 day after he was elected the first time.,,-7 Refused,Vice President,-7 Refused,I do not know,"The economy, the job market needs to pick up.",no,-7 Refused,"The economy, people need job in order to be effective in society.",,,,,,,,,,,
6026,,,I thought about for  about oneyear if the president decide to try to run for the next four years i would support him.,,i do not know,vice president,do not know,he is a chief justice,people need job,thelarge debt  that this country is in,the wars in other country,jobs,,,,,,,,,,,
6027,,,-1 Inapplicable,,Not shore,don't know,Don't know,Not shore,Jobs,Jobs,No,Don't know,,,,,,,,,,,
6028,,,Long before,,no idea,Vice President,no idea,no idea,everything,environment,economy,everything,,,,,,,,,,,
6029,,,,,,,,,,,,,,,,,,,,,,,
6030,,,-1 Inapplicable,,Speaker of the House,Vice President,Don't know,"Supreme Court justice, chief",economy environment culture of greed,we want more benefits than we are willng to pay for,-7 Refused,culture of greed--it leads to our economic and environmental problems,,,,,,,,,,,
6031,,,I knew about the entire time!,,Not sure but I do know his name.,Works with the president/Vice President,Prime Minister Untied Kingdom,Current Chief Justice of the United States,Overcoming what the people prior to President Obama did to this country. But we are doing it surely!,No not really.,No not really.,No not really.,I think all people should be treated the same.,,,,,,,,,,
6032,,,-1 Inapplicable,,Speaker of the House,Vice President,Prime Minister of UK,Chief Justice of the US Supreme Court,"Healthcare, Education, Fiscal responsibility","Instability in the Middle East,",global warming,healthcare,,,,,,,,,,,
6033,,,As soon as he was nominated.  I would have voted for anyone but Obama,,-7 Refused,VP,-7 Refused,-7 Refused,Economy Health care,personal freedoms right to choose to vaccinate,-7 Refused,Economy,,,,,,,,,,,
6034,,,6 years ago,,"Speaker of the senate, and the Republican senate leader.",Vice president.,England's primeminister.,"Supreme court judge. Possibly, its 'leader'; among those other judges.","Illegal immigration, street crimes/gangs, intelectually unsophisticated voters, and their 'elected representatives.",Environmental degredation; including global warming.,Loopholes for big businesses.,Illegal immigration.,,,,,,,,,,,
6035,,,Not Long,,Speaker of the House,Vice President of the US,Do not know,Chief Justice,Bad Economy Partisanship Currency value,class difference,no,Bad Economy,All races should have a fair shot,,,,,,,,,,
6036,,,-1 Inapplicable,,Speaker of the House,Vice President,British Prime Minister,Supreme Court Chief Justice,"Economy, debt, health care and education.",Immigration,Income inequality,Economy,,,,,,,,,,,
6037,,,always knew,,dont remember,vice president,dont remember,cheif justice,jobs needed in the country,health care for poor people,-7 Refused,unemployment and health care,,,,,,,,,,,
6038,,,6 months,,Speaker of the House,Vice President,Not sure,Not sure,The economy and jobs,Balancing the budget and curbing entitlements,Educationp,Growing the economy and jobs,,,,,,,,,,,
6039,,,Four years ago,,Speaker of the house,vice president,dont know,dont know,National Debt Entitlement Spending,Iran,Growth of federal government,National Debt,,,,,,,,,,,
6040,,Gary Johnson,6 months,,speaker of the house,vice president,prime minister,chief justice,"Lack of adherence to, and respect for, the Constitution",The economy,Lack of control and oversight of the Federal Reserve,The Constitution,,,,,,,,,,,
6041,,,about a week,,not sure,Vice President,don't know,Don't know,economy jobs health care,Terrorism,housing,economy,,,,,,,,,,,
6042,,,"when he was first elected, i knew it would take more than one term to fix the mess that bush and his cronies began....",,speaker of the house  GOP  aka a-hole,vice president,prime minister of united kingdom,chief justice of supreme court,"economy, and that fact that the republicans were willing hurt the us citizens so that the president would not get reelected.  it didn't work...",get religious issues OUT of government.  separation of church and state!,gop destroying unions that protect the workers,economy,,,,,,,,,,,
6043,,,from the very beginning,,speaker of the house,vice president,prime minister,chief justice,Politics,Jobs,-7 Refused,Jobless rate,,,,,,,,,,,
6044,,,3 months,,speaker of the house,vice president,press secretary,chief justice,unemployment.  There are not enough jobs for people who need jobs.,austerity crisis/ defecit,our education does not compete well internationally,unemployment,,,,,,,,,,,
6045,,,-1 Inapplicable,,Speaker of the House,Vice President,Prime Minister UK,Chief Justice Supreme Court,"Natural Resource Depletion, Population Growth",Global Warming,Military Industrial Complex,Limited fossil fuel supply with unwillingness to develop alternative energy.,,,,,,,,,,,
6046,,,As soon as I got to know Mitt's background .,,don't know,vice pres.,don't know,don't know,turning their back on God,greed,the people that think this USA owes them....gimee...gimee...gimee,Not putting God first,,,,,,,,,,,
6047,,,a few weeks,,idk,Vice President,idk,idk,economy and lack of jobs,isn't putting God first,no,lack of jobs,,,,,,,,,,,
6048,,,4 years,,Speaker of the House,Vice President,Do not know,Supreme Court Chief Justice,Econony and unemployment.  Too much government regulation and not enough cuts in govt spending,Iran and the Middle East,No bipartisianship..Govt not willing to compromise,economy,everyone should get fair treatment,,,,,,,,,,
6049,,,-1 Inapplicable,,Speaker of the House of Representatives,Vice President,Primse Minister of the UK,Chief Justice,Education and the economy,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
6050,,,-1 Inapplicable,,speaker of house,vp,prime minister,chief,poverty unemployed,illegals,-7 Refused,-7 Refused,,,,,,,,,,,
6051,,,4 months,,I don't know,Vice President,I don't know,I don't know,immigration laws,government assistance to many people are getting help when they dont deserve it,obama,obama,black people should not get special treatment,,,,,,,,,,
6052,,,about 3 months.,,?,V.P.,?,?,"Economy,lack of fair wage paying jobs.",Ethics,Ecology,"Immediate, the economy",all people,,,,,,,,,,
6053,,,,,,,,,,,,,,,,,,,,,,,
6054,,,About a month.,,not sure,vice president,not sure,chief justice supreme court,-7 Refused,-1 Inapplicable,-1 Inapplicable,,,,,,,,,,,,
6055,,,-1 Inapplicable,,Senator,Vice President,My besst answer is I don't know -- I can't place David Cameron in my memory box.,I don'tknow,"Lack of co-operation between parties.  We did not elect them to represent a party but us.  If they did that, we'd have a government again.",Politcal sellouts to big business,"One sided meddia, such as FOX",Non-co-operation between parties,,,,,,,,,,,
6056,,,6 weeks,,Not sure,Vice President,Not sure,Chief Justice of the Supreme Court,Wide gulf between rich and poor,Lacking of affordable housing,Too many hungry people and farmers are being paid not to grow food that could help solve the problem,Feeding and housing for the hungry and homeless,,,,,,,,,,,
6057,,,As soon as President Obama announced he would run again.,,Speaker of the House,Vice President,Don't know,Don't know,Congress' stubborness and refusal to negotiate about major issues affecting the country.,Weak economy and financial cliff,Taxation,"Currently, the weak economy and the fiscal cliff. However, this problem results from Congress' stubborness (mainly the republicans) and failure to negotiate. The republicans would prefer to sacrifice 99 percent  of Americans in order to make sure 1 percent  of Americans (their rich cronies) get tax relief and other benefits.",,,,,,,,,,,
6058,,,in the beginning,,don't know,vice president,don't know,don't know,"jobs, where did that go",money,banking,jobs good paying middle class jobs,,,,,,,,,,,
6059,,,-1 Inapplicable,,REP,democret,unknowen,-7 Refused,corupt leaders,sueside,no,-7 Refused,,,,,,,,,,,
6060,,,always knew I support Obama,,Speaker of the House,Vice President,don't know,Chief Justice,lack of decent paying jobs,"disrespect for the President, especially from some republicans",our nations debt,disrespect,,,,,,,,,,,
6061,,,-1 Inapplicable,,Speaker of the house,Vice President,Don't know,Don't know,getting the econemy back up and more people working,not letting jobs going overseas,stop big spending,getting the econemy back in line,,,,,,,,,,,
6062,,,since the beginning,,speaker of the house,vice president,not sure,not sure,economy health care,wages,no,economy,,,,,,,,,,,
6063,,,-1 Inapplicable,,Speaker of the House,Vice President,Prime Minister of Britain,Chief Justice of the Supreme Court (US),"Housing, economy, greed",no,no,Economy,,,,,,,,,,,
6064,,,4 years ago,,speaker of the House of Representatives,vice president,prime minister of UK,chief justice,feeding the hungry,jobs,n/a,jobs,,,,,,,,,,,
6065,,,At the beginning of the candidate selectiion process early in the year.,,Speaker of the House,VicePresident,don't know,news reporter,economy very weak and not much hope in the near future.,abortion kills innocent human beings,gay rights  sanctions an immoral behavior,economy,,,,,,,,,,,
6066,,,,,,,,,,,,,,,,,,,,,,,
6067,,,since the last election,,speaker of the house,vice president,unsure,supereme court judge,"jobs, the economy",education,wealthy not being taxed fairly,jobs,,,,,,,,,,,
6068,,,Always knew,,I dont know,Vice president,Don't know,Don't know,"Healthcare, more people covered",Employment,Education,Employment,,,,,,,,,,,
6069,,,go dems,,"Republican,Majority leader",vice president,do noy know,no,healthcare,healthcare,healthcare,healthcare,,,,,,,,,,,
